Format Version,1.23,Take Name,Take 2022-12-13 01.59.35 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-12-13 01.59.36.043 PM,Capture Start Frame,395627,Total Frames in Take,8611,Total Exported Frames,8611,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,Name,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,"Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker5","Tracker Nico:Marker5","Tracker Nico:Marker5"
,ID,"8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.006128,-0.001112,0.005586,-0.999965,66.575615,911.058350,27.809034,79.859581,937.260010,27.561001,82.774666,903.787292,23.310911,69.778648,914.475098,49.457329,41.064068,919.617737,21.289478,59.401115,880.151428,17.426443
1,0.008333,-0.006999,-0.002159,0.005673,-0.999957,66.602348,911.013184,27.758284,79.890106,937.213074,27.528513,82.790794,903.747375,23.213663,69.851059,914.391418,49.405815,41.078690,919.588074,21.306936,59.401112,880.125671,17.336483
2,0.016667,-0.006321,-0.001004,0.005699,-0.999963,66.578590,911.052673,27.807152,79.868614,937.251343,27.572079,82.776947,903.779541,23.309752,69.777695,914.460327,49.457458,41.070419,919.620361,21.285345,59.399269,880.151367,17.411116
3,0.025000,-0.006521,-0.000026,0.005732,-0.999962,66.544006,911.039978,27.840805,79.836494,937.237732,27.641918,82.750572,903.767395,23.372286,69.701012,914.439026,49.498650,41.049316,919.612244,21.272427,59.382633,880.143372,17.418736
4,0.033333,-0.006696,0.000008,0.005348,-0.999963,66.539291,911.047607,27.846508,79.811676,937.255676,27.657782,82.751762,903.789063,23.376663,69.692062,914.441528,49.505779,41.038513,919.602600,21.279213,59.402424,880.149109,17.413097
5,0.041667,-0.006730,-0.001364,0.005709,-0.999960,66.587944,911.004150,27.836855,79.878197,937.202820,27.613806,82.782974,903.734497,23.321882,69.802612,914.393982,49.487659,41.075249,919.577515,21.340359,59.400715,880.111511,17.420565
